min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,54,3,3,12
0.1,1,5,1,1457,5,7,12
0.1,1,5,2,3000,0,1,12
0.1,1,5,3,3000,0,0,0
0.1,1,6,0,8,1,1,12
0.1,1,6,1,93,2,3,12
0.1,1,6,2,1517,2,3,12
0.1,1,6,3,3000,0,0,0
0.1,1,7,0,8,1,1,12
0.1,1,7,1,59,2,3,12
0.1,1,7,2,1517,2,3,12
0.1,1,7,3,3000,0,0,0
0.1,1,8,0,7,1,1,12
0.1,1,8,1,20,2,3,12
0.1,1,8,2,37,2,3,12
0.1,1,8,3,40,2,3,12
0.1,1,9,0,7,1,1,12
0.1,1,9,1,20,2,3,12
0.1,1,9,2,37,2,3,12
0.1,1,9,3,40,2,3,12
0.1,1,10,0,1,0,0,0
0.1,1,10,1,19,2,3,12
0.1,1,10,2,35,2,3,12
0.1,1,10,3,38,2,3,12
0.1,2,5,0,433,3,5,12
0.1,2,5,1,1062,4,7,12
0.1,2,5,2,3000,0,1,12
0.1,2,5,3,3000,0,1,12
0.1,2,6,0,307,3,5,12
0.1,2,6,1,548,4,7,12
0.1,2,6,2,3000,0,1,12
0.1,2,6,3,3000,0,1,12
0.1,2,7,0,69,3,4,12
0.1,2,7,1,117,4,6,12
0.1,2,7,2,3000,0,1,12
0.1,2,7,3,3000,0,1,12
0.1,2,8,0,10,2,2,12
0.1,2,8,1,23,3,4,12
0.1,2,8,2,40,3,4,12
0.1,2,8,3,43,3,4,12
0.1,2,9,0,5,2,2,12
0.1,2,9,1,7,2,2,12
0.1,2,9,2,7,2,2,12
0.1,2,9,3,7,2,2,12
0.1,2,10,0,4,2,2,12
0.1,2,10,1,6,2,2,12
0.1,2,10,2,6,2,2,12
0.1,2,10,3,7,2,2,12
0.1,3,5,0,139,3,7,12
0.1,3,5,1,2614,4,9,12
0.1,3,5,2,3000,0,0,0
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,28,3,7,12
0.1,3,6,1,391,4,9,12
0.1,3,6,2,3000,0,2,12
0.1,3,6,3,3000,0,0,0
0.1,3,7,0,14,2,5,12
0.1,3,7,1,132,3,6,12
0.1,3,7,2,978,3,6,12
0.1,3,7,3,3000,2,5,12
0.1,3,8,0,11,1,4,12
0.1,3,8,1,42,3,6,12
0.1,3,8,2,299,3,6,12
0.1,3,8,3,1187,3,6,12
0.1,3,9,0,3,1,1,12
0.1,3,9,1,20,3,3,12
0.1,3,9,2,174,3,3,12
0.1,3,9,3,823,3,3,12
0.1,3,10,0,2,1,1,12
0.1,3,10,1,19,3,3,12
0.1,3,10,2,169,3,3,12
0.1,3,10,3,790,3,3,12
0.1,4,5,0,78,5,8,12
0.1,4,5,1,489,5,8,12
0.1,4,5,2,2732,5,8,12
0.1,4,5,3,3000,0,3,12
0.1,4,6,0,16,5,8,12
0.1,4,6,1,265,5,8,12
0.1,4,6,2,2209,5,8,12
0.1,4,6,3,3000,1,4,12
0.1,4,7,0,11,5,8,12
0.1,4,7,1,56,5,8,12
0.1,4,7,2,553,5,8,12
0.1,4,7,3,1459,5,8,12
0.1,4,8,0,11,5,8,12
0.1,4,8,1,33,5,8,12
0.1,4,8,2,241,5,8,12
0.1,4,8,3,1102,5,8,12
0.1,4,9,0,6,5,5,12
0.1,4,9,1,20,5,5,12
0.1,4,9,2,161,5,5,12
0.1,4,9,3,801,5,5,12
0.1,4,10,0,6,5,5,12
0.1,4,10,1,20,5,5,12
0.1,4,10,2,155,5,5,12
0.1,4,10,3,767,5,5,12
0.1,5,5,0,93,5,8,12
0.1,5,5,1,1695,5,9,15
0.1,5,5,2,3000,0,4,15
0.1,5,5,3,3000,0,2,15
0.1,5,6,0,17,5,8,12
0.1,5,6,1,503,5,9,15
0.1,5,6,2,3000,2,7,15
0.1,5,6,3,3000,0,4,15
0.1,5,7,0,11,5,8,12
0.1,5,7,1,115,5,8,12
0.1,5,7,2,1066,5,8,12
0.1,5,7,3,2454,5,8,12
0.1,5,8,0,11,5,8,12
0.1,5,8,1,75,5,8,12
0.1,5,8,2,638,5,8,12
0.1,5,8,3,1885,5,8,12
0.1,5,9,0,6,5,5,12
0.1,5,9,1,29,5,5,12
0.1,5,9,2,287,5,5,12
0.1,5,9,3,1146,5,5,12
0.1,5,10,0,6,5,5,12
0.1,5,10,1,29,5,5,12
0.1,5,10,2,252,5,5,12
0.1,5,10,3,1024,5,5,12
0.2,1,5,0,54,3,3,12
0.2,1,5,1,1457,5,7,12
0.2,1,5,2,3000,0,1,12
0.2,1,5,3,3000,0,0,0
0.2,1,6,0,8,1,1,12
0.2,1,6,1,93,2,3,12
