min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,261,4,17,43
0.1,1,5,1,1199,5,19,43
0.1,1,5,2,3000,4,15,43
0.1,1,5,3,3000,3,12,43
0.1,1,6,0,261,4,17,43
0.1,1,6,1,813,4,18,43
0.1,1,6,2,2752,7,22,43
0.1,1,6,3,3000,7,21,43
0.1,1,7,0,166,3,16,43
0.1,1,7,1,167,3,16,43
0.1,1,7,2,234,6,20,43
0.1,1,7,3,237,6,20,43
0.1,1,8,0,134,3,11,43
0.1,1,8,1,153,3,12,43
0.1,1,8,2,234,6,20,43
0.1,1,8,3,237,6,20,43
0.1,1,9,0,30,3,10,43
0.1,1,9,1,34,3,11,43
0.1,1,9,2,48,5,18,43
0.1,1,9,3,50,5,18,43
0.1,1,10,0,8,1,3,43
0.1,1,10,1,10,1,3,43
0.1,1,10,2,13,2,6,43
0.1,1,10,3,15,2,6,43
0.1,2,5,0,423,7,19,43
0.1,2,5,1,3000,8,22,43
0.1,2,5,2,3000,4,16,43
0.1,2,5,3,3000,3,13,43
0.1,2,6,0,262,5,15,43
0.1,2,6,1,1690,5,18,43
0.1,2,6,2,3000,6,18,43
0.1,2,6,3,3000,4,15,43
0.1,2,7,0,140,3,12,43
0.1,2,7,1,164,3,13,43
0.1,2,7,2,252,6,21,43
0.1,2,7,3,258,6,21,43
0.1,2,8,0,21,3,10,43
0.1,2,8,1,26,3,11,43
0.1,2,8,2,38,5,18,43
0.1,2,8,3,43,5,18,43
0.1,2,9,0,19,3,9,43
0.1,2,9,1,23,3,10,43
0.1,2,9,2,36,5,17,43
0.1,2,9,3,39,5,17,43
0.1,2,10,0,19,3,9,43
0.1,2,10,1,22,3,10,43
0.1,2,10,2,34,5,17,43
0.1,2,10,3,37,5,17,43
0.1,3,5,0,224,4,18,43
0.1,3,5,1,715,6,21,43
0.1,3,5,2,1286,8,26,43
0.1,3,5,3,1767,8,26,43
0.1,3,6,0,159,4,13,43
0.1,3,6,1,580,6,17,43
0.1,3,6,2,1130,8,26,43
0.1,3,6,3,1459,8,26,43
0.1,3,7,0,146,4,13,43
0.1,3,7,1,411,5,16,43
0.1,3,7,2,699,7,23,43
0.1,3,7,3,862,7,23,43
0.1,3,8,0,41,4,12,43
0.1,3,8,1,207,5,15,43
0.1,3,8,2,358,7,22,43
0.1,3,8,3,472,7,22,43
0.1,3,9,0,23,4,11,43
0.1,3,9,1,42,5,14,43
0.1,3,9,2,56,7,21,43
0.1,3,9,3,61,7,21,43
0.1,3,10,0,10,4,6,43
0.1,3,10,1,21,5,10,43
0.1,3,10,2,27,5,13,43
0.1,3,10,3,35,6,16,43
0.1,4,5,0,350,8,24,43
0.1,4,5,1,2196,12,30,43
0.1,4,5,2,3000,7,22,43
0.1,4,5,3,3000,3,12,43
0.1,4,6,0,229,7,22,43
0.1,4,6,1,636,11,28,43
0.1,4,6,2,1837,11,29,43
0.1,4,6,3,3000,8,22,43
0.1,4,7,0,52,5,16,43
0.1,4,7,1,354,9,23,43
0.1,4,7,2,1094,9,26,43
0.1,4,7,3,3000,9,25,43
0.1,4,8,0,31,5,15,43
0.1,4,8,1,82,9,21,43
0.1,4,8,2,227,9,23,43
0.1,4,8,3,2377,9,25,43
0.1,4,9,0,16,3,10,43
0.1,4,9,1,51,6,14,43
0.1,4,9,2,180,6,14,43
0.1,4,9,3,2284,6,17,43
0.1,4,10,0,12,2,8,43
0.1,4,10,1,33,5,11,43
0.1,4,10,2,103,5,11,43
0.1,4,10,3,1386,5,14,43
0.1,5,5,0,363,7,21,44
0.1,5,5,1,3000,11,28,44
0.1,5,5,2,3000,3,13,44
0.1,5,5,3,3000,2,10,43
0.1,5,6,0,229,7,20,43
0.1,5,6,1,1168,11,28,43
0.1,5,6,2,3000,11,29,43
0.1,5,6,3,3000,4,18,43
0.1,5,7,0,47,6,17,43
0.1,5,7,1,365,10,24,43
0.1,5,7,2,1008,10,25,43
0.1,5,7,3,3000,8,23,43
0.1,5,8,0,35,6,17,43
0.1,5,8,1,123,8,22,43
0.1,5,8,2,399,8,23,43
0.1,5,8,3,2299,8,24,43
0.1,5,9,0,28,5,13,43
0.1,5,9,1,89,6,19,43
0.1,5,9,2,171,8,23,43
0.1,5,9,3,848,8,24,43
0.1,5,10,0,21,4,12,43
0.1,5,10,1,62,5,16,43
0.1,5,10,2,101,7,18,43
0.1,5,10,3,535,7,19,43
0.2,1,5,0,261,4,17,43
0.2,1,5,1,1199,5,19,43
0.2,1,5,2,3000,4,15,43
0.2,1,5,3,3000,3,12,43
0.2,1,6,0,261,4,17,43
0.2,1,6,1,813,4,18,43
0.2,1,6,2,2752,7,22,43
0.2,1,6,3,3000,7,21,43
0.2,1,7,0,166,3,16,43
0.2,1,7,1,167,3,16,43
0.2,1,7,2,234,6,20,43
0.2,1,7,3,237,6,20,43
0.2,1,8,0,134,3,11,43
0.2,1,8,1,153,3,12,43
0.2,1,8,2,234,6,20,43
0.2,1,8,3,237,6,20,43
0.2,1,9,0,30,3,10,43
0.2,1,9,1,34,3,11,43
0.2,1,9,2,48,5,18,43
0.2,1,9,3,50,5,18,43
0.2,1,10,0,8,1,3,43
0.2,1,10,1,10,1,3,43
0.2,1,10,2,13,2,6,43
0.2,1,10,3,15,2,6,43
0.2,2,5,0,231,6,21,43
0.2,2,5,1,346,8,24,43
0.2,2,5,2,746,9,28,43
0.2,2,5,3,887,10,30,43
0.2,2,6,0,99,6,20,43
0.2,2,6,1,194,8,23,43
0.2,2,6,2,282,9,27,43
0.2,2,6,3,451,10,29,43
0.2,2,7,0,99,6,20,43
0.2,2,7,1,191,7,22,43
0.2,2,7,2,268,8,24,43
0.2,2,7,3,435,9,26,43
0.2,2,8,0,87,6,15,43
0.2,2,8,1,179,7,18,43
0.2,2,8,2,264,8,24,43
0.2,2,8,3,425,9,26,43
0.2,2,9,0,30,5,11,43
0.2,2,9,1,155,7,15,43
0.2,2,9,2,229,7,19,43
0.2,2,9,3,367,8,21,43
0.2,2,10,0,19,5,8,43
0.2,2,10,1,100,5,11,43
0.2,2,10,2,217,7,16,43
0.2,2,10,3,362,8,21,43
0.2,3,5,0,360,6,21,43
0.2,3,5,1,1187,8,24,43
0.2,3,5,2,2082,9,28,43
0.2,3,5,3,3000,9,24,43
0.2,3,6,0,172,6,20,43
0.2,3,6,1,620,8,23,43
0.2,3,6,2,986,9,27,43
0.2,3,6,3,2737,10,29,43
0.2,3,7,0,93,6,15,43
0.2,3,7,1,237,8,20,43
0.2,3,7,2,391,9,27,43
0.2,3,7,3,808,10,29,43
0.2,3,8,0,53,4,12,43
0.2,3,8,1,179,6,18,43
0.2,3,8,2,256,7,23,43
0.2,3,8,3,450,7,24,43
0.2,3,9,0,16,4,6,43
0.2,3,9,1,77,5,9,43
0.2,3,9,2,158,6,13,43
0.2,3,9,3,330,6,17,43
0.2,3,10,0,16,4,6,43
0.2,3,10,1,61,5,8,43
0.2,3,10,2,123,6,12,43
