min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,575,7,14,25
0.1,1,5,1,1888,7,15,26
0.1,1,5,2,3435,7,15,26
0.1,1,5,3,3682,7,15,26
0.1,1,6,0,284,7,12,25
0.1,1,6,1,694,7,13,26
0.1,1,6,2,805,7,13,26
0.1,1,6,3,859,7,13,26
0.1,1,7,0,254,7,12,25
0.1,1,7,1,619,7,13,26
0.1,1,7,2,703,7,13,26
0.1,1,7,3,754,7,13,26
0.1,1,8,0,58,5,9,24
0.1,1,8,1,228,5,10,25
0.1,1,8,2,300,5,10,25
0.1,1,8,3,432,5,10,25
0.1,1,9,0,28,2,4,23
0.1,1,9,1,90,2,4,23
0.1,1,9,2,122,2,4,23
0.1,1,9,3,163,2,4,23
0.1,1,10,0,4,0,1,23
0.1,1,10,1,50,2,4,23
0.1,1,10,2,74,2,4,23
0.1,1,10,3,134,2,4,23
0.1,2,5,0,2209,7,18,29
0.1,2,5,1,3112,7,18,29
0.1,2,5,2,4548,7,18,29
0.1,2,5,3,4741,7,18,29
0.1,2,6,0,312,7,14,25
0.1,2,6,1,1252,7,15,26
0.1,2,6,2,2118,7,15,26
0.1,2,6,3,2544,7,15,26
0.1,2,7,0,261,7,14,25
0.1,2,7,1,771,7,15,26
0.1,2,7,2,1099,7,15,26
0.1,2,7,3,1533,7,15,26
0.1,2,8,0,46,3,8,23
0.1,2,8,1,598,6,14,25
0.1,2,8,2,956,6,14,25
0.1,2,8,3,1453,6,14,25
0.1,2,9,0,20,2,5,23
0.1,2,9,1,259,4,7,23
0.1,2,9,2,353,4,7,23
0.1,2,9,3,512,5,9,24
0.1,2,10,0,14,2,5,23
0.1,2,10,1,147,3,6,23
0.1,2,10,2,207,3,6,23
0.1,2,10,3,325,4,8,24
0.1,3,5,0,618,7,14,25
0.1,3,5,1,2605,7,15,26
0.1,3,5,2,4795,7,15,26
0.1,3,5,3,5000,7,15,26
0.1,3,6,0,284,7,12,25
0.1,3,6,1,696,7,13,26
0.1,3,6,2,808,7,13,26
0.1,3,6,3,862,7,13,26
0.1,3,7,0,254,7,12,25
0.1,3,7,1,619,7,13,26
0.1,3,7,2,703,7,13,26
0.1,3,7,3,754,7,13,26
0.1,3,8,0,177,6,11,24
0.1,3,8,1,475,6,12,25
0.1,3,8,2,539,6,12,25
0.1,3,8,3,587,6,12,25
0.1,3,9,0,40,4,7,24
0.1,3,9,1,241,5,10,25
0.1,3,9,2,328,5,11,25
0.1,3,9,3,506,6,12,25
0.1,3,10,0,24,4,7,24
0.1,3,10,1,152,5,10,25
0.1,3,10,2,299,5,11,25
0.1,3,10,3,487,6,12,25
0.1,4,5,0,2252,7,18,29
0.1,4,5,1,3827,7,18,29
0.1,4,5,2,5000,6,17,29
0.1,4,5,3,5000,6,15,27
0.1,4,6,0,1990,7,17,29
0.1,4,6,1,2940,7,17,29
0.1,4,6,2,4404,7,17,29
0.1,4,6,3,4600,7,17,29
0.1,4,7,0,309,7,14,25
0.1,4,7,1,1490,7,15,26
0.1,4,7,2,2914,7,15,26
0.1,4,7,3,2993,7,15,26
0.1,4,8,0,166,6,13,24
0.1,4,8,1,776,6,14,25
0.1,4,8,2,1212,6,14,25
0.1,4,8,3,1399,6,14,25
0.1,4,9,0,32,3,6,24
0.1,4,9,1,293,6,12,25
0.1,4,9,2,508,6,12,25
0.1,4,9,3,557,6,12,25
0.1,4,10,0,8,3,5,24
0.1,4,10,1,147,5,10,25
0.1,4,10,2,290,5,11,25
0.1,4,10,3,487,6,12,25
0.1,5,5,0,2155,7,18,29
0.1,5,5,1,4265,7,18,29
0.1,5,5,2,5000,0,0,0
0.1,5,5,3,5000,0,0,0
0.1,5,6,0,310,7,14,25
0.1,5,6,1,1554,7,15,26
0.1,5,6,2,5000,0,0,0
0.1,5,6,3,5000,0,0,0
0.1,5,7,0,269,7,12,25
0.1,5,7,1,907,7,13,26
0.1,5,7,2,5000,3,7,25
0.1,5,7,3,5000,0,0,0
0.1,5,8,0,260,7,12,25
0.1,5,8,1,800,7,13,26
0.1,5,8,2,5000,5,11,26
0.1,5,8,3,5000,1,2,24
0.1,5,9,0,154,6,11,24
0.1,5,9,1,600,6,12,25
0.1,5,9,2,5000,5,11,25
0.1,5,9,3,5000,0,2,24
0.1,5,10,0,45,6,6,24
0.1,5,10,1,331,6,8,24
0.1,5,10,2,5000,6,9,24
0.1,5,10,3,5000,1,2,23
0.2,1,5,0,575,7,14,25
0.2,1,5,1,1888,7,15,26
0.2,1,5,2,3435,7,15,26
0.2,1,5,3,3682,7,15,26
0.2,1,6,0,284,7,12,25
0.2,1,6,1,694,7,13,26
0.2,1,6,2,805,7,13,26
0.2,1,6,3,859,7,13,26
0.2,1,7,0,254,7,12,25
0.2,1,7,1,619,7,13,26
0.2,1,7,2,703,7,13,26
0.2,1,7,3,754,7,13,26
0.2,1,8,0,58,5,9,24
0.2,1,8,1,228,5,10,25
0.2,1,8,2,300,5,10,25
0.2,1,8,3,432,5,10,25
0.2,1,9,0,28,2,4,23
0.2,1,9,1,90,2,4,23
0.2,1,9,2,122,2,4,23
0.2,1,9,3,163,2,4,23
0.2,1,10,0,4,0,1,23
0.2,1,10,1,50,2,4,23
0.2,1,10,2,74,2,4,23
0.2,1,10,3,134,2,4,23
0.2,2,5,0,827,7,16,28
0.2,2,5,1,2229,7,17,29
0.2,2,5,2,4174,7,18,29
0.2,2,5,3,4452,7,18,29
0.2,2,6,0,157,5,11,26
0.2,2,6,1,411,5,11,26
0.2,2,6,2,897,5,13,27
0.2,2,6,3,1782,5,13,27
0.2,2,7,0,128,5,10,26
0.2,2,7,1,288,5,10,26
0.2,2,7,2,444,5,12,27
0.2,2,7,3,609,5,12,27
0.2,2,8,0,17,3,6,26
0.2,2,8,1,167,5,9,26
0.2,2,8,2,269,5,11,27
0.2,2,8,3,532,5,12,27
0.2,2,9,0,14,3,5,24
0.2,2,9,1,153,5,8,24
0.2,2,9,2,220,5,9,24
0.2,2,9,3,404,5,9,24
0.2,2,10,0,8,3,5,24
0.2,2,10,1,28,4,6,24
0.2,2,10,2,71,4,8,24
0.2,2,10,3,208,4,8,24
0.2,3,5,0,2763,7,18,29
0.2,3,5,1,5000,0,1,23
0.2,3,5,2,5000,0,0,0
0.2,3,5,3,5000,0,0,0
0.2,3,6,0,370,7,13,25
0.2,3,6,1,5000,5,11,26
0.2,3,6,2,5000,0,0,0
0.2,3,6,3,5000,0,0,0
0.2,3,7,0,302,7,13,25
0.2,3,7,1,4812,7,14,26
0.2,3,7,2,5000,0,0,0
0.2,3,7,3,5000,0,0,0
0.2,3,8,0,109,3,7,23
0.2,3,8,1,1547,3,7,23
0.2,3,8,2,5000,0,0,0
0.2,3,8,3,5000,0,0,0
0.2,3,9,0,10,1,2,23
0.2,3,9,1,141,3,6,23
0.2,3,9,2,180,3,6,23
0.2,3,9,3,264,3,6,23
0.2,3,10,0,3,0,2,23
0.2,3,10,1,4,0,2,23
0.2,3,10,2,12,1,2,23
0.2,3,10,3,18,1,2,23
0.2,4,5,0,2812,7,18,29
0.2,4,5,1,5000,0,0,0
0.2,4,5,2,5000,0,0,0
0.2,4,5,3,5000,0,0,0
0.2,4,6,0,2035,7,17,29
0.2,4,6,1,5000,0,0,0
0.2,4,6,2,5000,0,0,0
0.2,4,6,3,5000,0,0,0
0.2,4,7,0,416,7,13,25
0.2,4,7,1,4772,7,14,26
0.2,4,7,2,5000,0,0,0
0.2,4,7,3,5000,0,0,0
0.2,4,8,0,136,4,6,23
0.2,4,8,1,181,4,6,23
0.2,4,8,2,205,4,6,23
0.2,4,8,3,222,4,6,23
0.2,4,9,0,28,3,4,23
0.2,4,9,1,126,4,6,23
0.2,4,9,2,150,4,6,23
0.2,4,9,3,185,4,6,23
0.2,4,10,0,13,2,3,23
0.2,4,10,1,81,3,5,23
0.2,4,10,2,94,3,5,23
0.2,4,10,3,126,3,5,23
0.2,5,5,0,3613,8,17,28
0.2,5,5,1,5000,0,0,0
0.2,5,5,2,5000,0,0,0
0.2,5,5,3,5000,0,0,0
0.2,5,6,0,637,7,16,28
0.2,5,6,1,5000,2,6,26
0.2,5,6,2,5000,0,0,0
0.2,5,6,3,5000,0,0,0
0.2,5,7,0,226,6,14,27
0.2,5,7,1,5000,5,10,25
0.2,5,7,2,5000,0,0,0
0.2,5,7,3,5000,0,0,0
0.2,5,8,0,80,6,12,27
0.2,5,8,1,486,6,13,28
0.2,5,8,2,587,7,15,29
0.2,5,8,3,929,7,15,29
0.2,5,9,0,71,6,12,27
0.2,5,9,1,260,6,12,27
0.2,5,9,2,380,7,14,28
0.2,5,9,3,553,7,14,28
0.2,5,10,0,71,6,12,27
0.2,5,10,1,260,6,12,27
0.2,5,10,2,380,7,14,28
0.2,5,10,3,553,7,14,28
0.3,1,5,0,575,7,14,25
0.3,1,5,1,1888,7,15,26
0.3,1,5,2,3435,7,15,26
0.3,1,5,3,3682,7,15,26
0.3,1,6,0,284,7,12,25
0.3,1,6,1,694,7,13,26
0.3,1,6,2,805,7,13,26
0.3,1,6,3,859,7,13,26
0.3,1,7,0,254,7,12,25
0.3,1,7,1,619,7,13,26
0.3,1,7,2,703,7,13,26
0.3,1,7,3,754,7,13,26
0.3,1,8,0,58,5,9,24
0.3,1,8,1,228,5,10,25
0.3,1,8,2,300,5,10,25
0.3,1,8,3,432,5,10,25
0.3,1,9,0,28,2,4,23
0.3,1,9,1,90,2,4,23
0.3,1,9,2,122,2,4,23
0.3,1,9,3,163,2,4,23
