min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,100,4,5,12
0.1,1,5,1,574,4,5,12
0.1,1,5,2,3000,1,1,12
0.1,1,5,3,3000,1,1,12
0.1,1,6,0,5,1,2,12
0.1,1,6,1,139,1,2,12
0.1,1,6,2,3000,1,1,12
0.1,1,6,3,3000,1,1,12
0.1,1,7,0,0,0,0,0
0.1,1,7,1,1,0,0,0
0.1,1,7,2,9,2,2,12
0.1,1,7,3,10,2,2,12
0.1,1,8,0,0,0,0,0
0.1,1,8,1,1,0,0,0
0.1,1,8,2,9,2,2,12
0.1,1,8,3,10,2,2,12
0.1,1,9,0,0,0,0,0
0.1,1,9,1,0,0,0,0
0.1,1,9,2,1,0,0,0
0.1,1,9,3,1,0,0,0
0.1,1,10,0,0,0,0,0
0.1,1,10,1,0,0,0,0
0.1,1,10,2,0,0,0,0
0.1,1,10,3,0,0,0,0
0.1,2,5,0,10,3,4,12
0.1,2,5,1,358,3,4,12
0.1,2,5,2,3000,0,0,0
0.1,2,5,3,3000,0,0,0
0.1,2,6,0,6,2,3,12
0.1,2,6,1,355,2,3,12
0.1,2,6,2,3000,0,0,0
0.1,2,6,3,3000,0,0,0
0.1,2,7,0,1,0,0,0
0.1,2,7,1,32,2,2,12
0.1,2,7,2,3000,1,1,12
0.1,2,7,3,3000,1,1,12
0.1,2,8,0,1,0,0,0
0.1,2,8,1,4,2,2,12
0.1,2,8,2,15,2,2,12
0.1,2,8,3,19,2,2,12
0.1,2,9,0,1,0,0,0
0.1,2,9,1,2,1,1,12
0.1,2,9,2,2,1,1,12
0.1,2,9,3,3,1,1,12
0.1,2,10,0,1,0,0,0
0.1,2,10,1,2,1,1,12
0.1,2,10,2,2,1,1,12
0.1,2,10,3,3,1,1,12
0.1,3,5,0,23,4,5,12
0.1,3,5,1,374,4,5,12
0.1,3,5,2,3000,0,0,0
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,23,4,5,12
0.1,3,6,1,374,4,5,12
0.1,3,6,2,3000,0,0,0
0.1,3,6,3,3000,0,0,0
0.1,3,7,0,8,4,4,12
0.1,3,7,1,51,4,4,12
0.1,3,7,2,3000,1,1,12
