min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,261,5,17,43
0.1,1,5,1,1017,6,20,44
0.1,1,5,2,3000,6,21,44
0.1,1,5,3,3000,3,7,43
0.1,1,6,0,166,5,16,43
0.1,1,6,1,173,6,17,43
0.1,1,6,2,178,6,17,43
0.1,1,6,3,186,6,17,43
0.1,1,7,0,166,5,16,43
0.1,1,7,1,173,6,17,43
0.1,1,7,2,178,6,17,43
0.1,1,7,3,185,6,17,43
0.1,1,8,0,41,4,15,43
0.1,1,8,1,45,5,16,43
0.1,1,8,2,47,5,16,43
0.1,1,8,3,185,6,17,43
0.1,1,9,0,25,4,13,43
0.1,1,9,1,27,5,14,43
0.1,1,9,2,28,5,14,43
0.1,1,9,3,28,5,14,43
0.1,1,10,0,20,4,11,43
0.1,1,10,1,22,5,12,43
0.1,1,10,2,24,5,13,43
0.1,1,10,3,24,5,13,43
0.1,2,5,0,1999,6,27,44
0.1,2,5,1,3000,7,28,44
0.1,2,5,2,3000,6,23,44
0.1,2,5,3,3000,4,9,43
0.1,2,6,0,266,6,20,43
0.1,2,6,1,1005,7,23,44
0.1,2,6,2,2525,7,24,44
0.1,2,6,3,3000,5,12,44
0.1,2,7,0,86,5,18,43
0.1,2,7,1,157,6,21,44
0.1,2,7,2,1540,7,24,44
0.1,2,7,3,3000,5,13,44
0.1,2,8,0,74,4,15,43
0.1,2,8,1,139,5,18,44
0.1,2,8,2,1527,6,21,44
0.1,2,8,3,3000,4,11,44
0.1,2,9,0,11,3,7,43
0.1,2,9,1,21,4,10,44
0.1,2,9,2,163,5,15,44
0.1,2,9,3,3000,5,11,44
0.1,2,10,0,5,2,3,43
0.1,2,10,1,7,3,5,43
0.1,2,10,2,33,3,6,43
0.1,2,10,3,291,4,8,43
0.1,3,5,0,254,7,25,44
0.1,3,5,1,278,7,25,44
0.1,3,5,2,1876,7,25,44
0.1,3,5,3,3000,4,9,43
0.1,3,6,0,235,7,22,43
0.1,3,6,1,250,7,24,44
0.1,3,6,2,821,7,24,44
0.1,3,6,3,3000,4,9,43
0.1,3,7,0,188,5,15,43
0.1,3,7,1,217,6,20,44
0.1,3,7,2,610,7,22,44
0.1,3,7,3,3000,4,9,43
0.1,3,8,0,93,5,14,43
0.1,3,8,1,107,6,19,44
0.1,3,8,2,246,7,21,44
0.1,3,8,3,3000,5,14,44
0.1,3,9,0,24,4,11,43
0.1,3,9,1,38,5,16,44
0.1,3,9,2,164,6,17,44
0.1,3,9,3,3000,6,12,44
0.1,3,10,0,9,2,4,43
0.1,3,10,1,21,3,9,44
0.1,3,10,2,131,4,14,44
0.1,3,10,3,3000,5,13,44
0.1,4,5,0,860,8,26,44
0.1,4,5,1,886,8,27,44
0.1,4,5,2,2484,8,27,44
0.1,4,5,3,3000,4,9,43
0.1,4,6,0,236,8,22,43
0.1,4,6,1,377,8,25,44
0.1,4,6,2,955,8,25,44
0.1,4,6,3,3000,4,9,43
0.1,4,7,0,131,7,20,43
0.1,4,7,1,271,8,24,44
0.1,4,7,2,652,8,24,44
0.1,4,7,3,3000,4,9,43
0.1,4,8,0,104,7,20,43
0.1,4,8,1,123,8,24,44
0.1,4,8,2,471,8,24,44
0.1,4,8,3,3000,4,9,43
0.1,4,9,0,28,6,14,43
0.1,4,9,1,41,7,19,44
0.1,4,9,2,171,8,22,44
0.1,4,9,3,3000,6,15,44
0.1,4,10,0,12,4,6,43
0.1,4,10,1,25,5,11,44
0.1,4,10,2,135,6,16,44
0.1,4,10,3,3000,5,14,44
0.1,5,5,0,1420,9,24,43
0.1,5,5,1,3000,7,18,44
0.1,5,5,2,3000,6,13,44
0.1,5,5,3,3000,2,5,43
0.1,5,6,0,440,9,23,43
0.1,5,6,1,2112,9,23,43
0.1,5,6,2,3000,9,26,43
0.1,5,6,3,3000,5,10,43
0.1,5,7,0,273,8,20,43
0.1,5,7,1,279,8,20,43
0.1,5,7,2,827,9,22,43
0.1,5,7,3,1098,9,22,43
0.1,5,8,0,155,8,20,43
0.1,5,8,1,161,8,20,43
0.1,5,8,2,481,9,22,43
0.1,5,8,3,645,9,22,43
0.1,5,9,0,49,6,14,43
0.1,5,9,1,51,6,14,43
0.1,5,9,2,179,6,15,43
0.1,5,9,3,253,6,15,43
0.1,5,10,0,40,5,13,43
0.1,5,10,1,42,6,14,43
0.1,5,10,2,117,6,15,43
0.1,5,10,3,169,6,15,43
0.2,1,5,0,261,5,17,43
0.2,1,5,1,1017,6,20,44
0.2,1,5,2,3000,6,21,44
0.2,1,5,3,3000,3,7,43
0.2,1,6,0,166,5,16,43
0.2,1,6,1,173,6,17,43
0.2,1,6,2,178,6,17,43
0.2,1,6,3,186,6,17,43
0.2,1,7,0,166,5,16,43
0.2,1,7,1,173,6,17,43
0.2,1,7,2,178,6,17,43
0.2,1,7,3,185,6,17,43
0.2,1,8,0,41,4,15,43
0.2,1,8,1,45,5,16,43
0.2,1,8,2,47,5,16,43
0.2,1,8,3,185,6,17,43
0.2,1,9,0,25,4,13,43
0.2,1,9,1,27,5,14,43
0.2,1,9,2,28,5,14,43
0.2,1,9,3,28,5,14,43
0.2,1,10,0,20,4,11,43
0.2,1,10,1,22,5,12,43
0.2,1,10,2,24,5,13,43
0.2,1,10,3,24,5,13,43
0.2,2,5,0,554,6,25,44
0.2,2,5,1,637,7,27,44
0.2,2,5,2,3000,7,26,44
