min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,261,5,17,43
0.1,1,5,1,1017,5,20,44
0.1,1,5,2,3000,5,21,44
0.1,1,5,3,3000,3,7,43
0.1,1,6,0,45,5,16,43
0.1,1,6,1,129,5,19,44
0.1,1,6,2,339,5,19,44
0.1,1,6,3,3000,3,9,44
0.1,1,7,0,41,5,15,43
0.1,1,7,1,45,5,16,43
0.1,1,7,2,47,5,16,43
0.1,1,7,3,186,5,17,43
0.1,1,8,0,41,5,15,43
0.1,1,8,1,45,5,16,43
0.1,1,8,2,47,5,16,43
0.1,1,8,3,185,5,17,43
0.1,1,9,0,25,5,13,43
0.1,1,9,1,27,5,14,43
0.1,1,9,2,28,5,14,43
0.1,1,9,3,28,5,14,43
0.1,1,10,0,12,5,8,43
0.1,1,10,1,13,5,9,43
0.1,1,10,2,13,5,9,43
0.1,1,10,3,15,5,10,43
0.1,2,5,0,369,5,17,43
0.1,2,5,1,3000,6,20,43
0.1,2,5,2,3000,3,10,44
0.1,2,5,3,3000,2,2,43
0.1,2,6,0,195,5,16,43
0.1,2,6,1,3000,7,23,43
0.1,2,6,2,3000,3,11,44
0.1,2,6,3,3000,2,5,43
0.1,2,7,0,114,5,16,43
0.1,2,7,1,-1,5,16,43
0.1,2,7,2,-1,5,16,43
0.1,2,7,3,3000,2,5,43
0.1,2,8,0,28,5,10,43
0.1,2,8,1,690,6,15,43
0.1,2,8,2,3000,7,18,43
0.1,2,8,3,3000,3,6,43
0.1,2,9,0,26,4,9,43
0.1,2,9,1,208,5,13,43
0.1,2,9,2,1612,5,16,43
0.1,2,9,3,3000,2,5,43
0.1,2,10,0,13,4,8,43
0.1,2,10,1,82,5,9,43
0.1,2,10,2,584,5,10,43
0.1,2,10,3,3000,4,8,43
0.1,3,5,0,2318,9,28,44
0.1,3,5,1,3000,6,20,44
0.1,3,5,2,3000,4,14,44
0.1,3,5,3,3000,3,8,43
0.1,3,6,0,323,8,24,43
0.1,3,6,1,720,8,24,43
0.1,3,6,2,859,8,24,43
0.1,3,6,3,2384,8,25,43
0.1,3,7,0,123,8,21,43
0.1,3,7,1,163,8,21,43
0.1,3,7,2,381,8,23,43
0.1,3,7,3,1562,8,24,43
0.1,3,8,0,43,7,15,43
0.1,3,8,1,76,7,16,43
0.1,3,8,2,101,7,17,43
0.1,3,8,3,104,7,17,43
0.1,3,9,0,36,6,12,43
0.1,3,9,1,56,6,13,43
0.1,3,9,2,71,6,14,43
0.1,3,9,3,75,6,14,43
0.1,3,10,0,32,6,12,43
0.1,3,10,1,43,6,12,43
0.1,3,10,2,52,6,13,43
0.1,3,10,3,60,6,13,43
0.1,4,5,0,672,8,25,43
0.1,4,5,1,3000,7,22,44
0.1,4,5,2,3000,4,10,43
0.1,4,5,3,3000,0,0,0
0.1,4,6,0,225,8,22,43
0.1,4,6,1,2426,8,23,44
0.1,4,6,2,3000,5,17,44
0.1,4,6,3,3000,2,4,43
0.1,4,7,0,100,8,17,43
0.1,4,7,1,1237,8,18,43
0.1,4,7,2,3000,8,18,43
0.1,4,7,3,3000,4,8,43
0.1,4,8,0,52,7,16,43
0.1,4,8,1,105,7,16,43
0.1,4,8,2,253,7,16,43
0.1,4,8,3,800,8,17,43
0.1,4,9,0,28,7,16,43
0.1,4,9,1,42,7,16,43
0.1,4,9,2,63,7,16,43
0.1,4,9,3,161,7,16,43
0.1,4,10,0,25,6,13,43
0.1,4,10,1,29,6,13,43
0.1,4,10,2,34,6,13,43
0.1,4,10,3,44,6,13,43
0.1,5,5,0,3000,7,23,44
0.1,5,5,1,3000,4,16,44
0.1,5,5,2,3000,4,10,43
0.1,5,5,3,3000,0,0,0
0.1,5,6,0,1113,9,28,44
0.1,5,6,1,3000,8,26,44
0.1,5,6,2,3000,4,13,44
0.1,5,6,3,3000,2,5,43
0.1,5,7,0,150,7,23,44
0.1,5,7,1,653,8,28,44
0.1,5,7,2,1573,9,29,44
0.1,5,7,3,3000,4,10,43
0.1,5,8,0,87,7,18,43
0.1,5,8,1,371,8,24,43
0.1,5,8,2,650,9,25,43
0.1,5,8,3,860,9,25,43
0.1,5,9,0,40,7,18,43
0.1,5,9,1,176,7,21,43
0.1,5,9,2,349,7,22,43
0.1,5,9,3,561,8,24,43
0.1,5,10,0,29,7,17,43
0.1,5,10,1,54,7,18,43
0.1,5,10,2,90,7,18,43
0.1,5,10,3,123,7,18,43
0.2,1,5,0,261,5,17,43
0.2,1,5,1,1017,5,20,44
0.2,1,5,2,3000,5,21,44
0.2,1,5,3,3000,3,7,43
0.2,1,6,0,45,5,16,43
0.2,1,6,1,129,5,19,44
0.2,1,6,2,339,5,19,44
0.2,1,6,3,3000,3,9,44
0.2,1,7,0,41,5,15,43
0.2,1,7,1,45,5,16,43
0.2,1,7,2,47,5,16,43
0.2,1,7,3,186,5,17,43
0.2,1,8,0,41,5,15,43
0.2,1,8,1,45,5,16,43
0.2,1,8,2,47,5,16,43
0.2,1,8,3,185,5,17,43
0.2,1,9,0,25,5,13,43
0.2,1,9,1,27,5,14,43
0.2,1,9,2,28,5,14,43
0.2,1,9,3,28,5,14,43
0.2,1,10,0,12,5,8,43
0.2,1,10,1,13,5,9,43
0.2,1,10,2,13,5,9,43
0.2,1,10,3,15,5,10,43
0.2,2,5,0,1949,8,27,44
0.2,2,5,1,3000,8,27,44
0.2,2,5,2,3000,6,21,44
0.2,2,5,3,3000,3,8,43
0.2,2,6,0,313,7,23,43
0.2,2,6,1,359,7,23,43
0.2,2,6,2,422,7,23,43
0.2,2,6,3,1866,7,24,43
0.2,2,7,0,120,7,20,43
0.2,2,7,1,129,7,20,43
0.2,2,7,2,328,7,22,43
0.2,2,7,3,1508,7,23,43
0.2,2,8,0,76,7,13,43
0.2,2,8,1,82,7,15,43
0.2,2,8,2,212,7,17,43
0.2,2,8,3,876,7,19,43
0.2,2,9,0,71,7,13,43
0.2,2,9,1,78,7,15,43
0.2,2,9,2,197,7,17,43
0.2,2,9,3,813,7,19,43
0.2,2,10,0,13,4,9,43
0.2,2,10,1,15,4,10,43
0.2,2,10,2,36,4,12,43
0.2,2,10,3,728,6,17,43
0.2,3,5,0,607,8,25,43
0.2,3,5,1,2076,8,27,43
0.2,3,5,2,3000,8,25,43
0.2,3,5,3,3000,4,10,43
0.2,3,6,0,247,7,22,43
0.2,3,6,1,335,7,23,43
0.2,3,6,2,837,7,23,43
0.2,3,6,3,3000,7,22,43
0.2,3,7,0,118,7,19,43
0.2,3,7,1,140,7,20,43
0.2,3,7,2,340,7,21,43
0.2,3,7,3,1640,7,22,43
0.2,3,8,0,89,7,18,43
0.2,3,8,1,94,7,19,43
0.2,3,8,2,224,7,20,43
0.2,3,8,3,888,7,21,43
0.2,3,9,0,41,6,13,43
0.2,3,9,1,68,6,15,43
0.2,3,9,2,136,6,15,43
0.2,3,9,3,546,6,15,43
0.2,3,10,0,25,5,11,43
0.2,3,10,1,54,6,15,43
0.2,3,10,2,136,6,15,43
0.2,3,10,3,535,6,15,43
0.2,4,5,0,1564,7,23,43
0.2,4,5,1,3000,3,7,43
0.2,4,5,2,3000,2,5,43
0.2,4,5,3,3000,0,0,0
0.2,4,6,0,314,7,23,43
0.2,4,6,1,3000,5,17,43
0.2,4,6,2,3000,2,5,43
0.2,4,6,3,3000,2,2,43
0.2,4,7,0,92,6,13,43
0.2,4,7,1,3000,6,16,43
0.2,4,7,2,3000,3,5,43
0.2,4,7,3,3000,2,3,43
0.2,4,8,0,24,5,10,43
0.2,4,8,1,1250,6,15,43
0.2,4,8,2,3000,4,11,43
0.2,4,8,3,3000,3,5,43
0.2,4,9,0,21,5,10,43
0.2,4,9,1,276,6,14,43
0.2,4,9,2,1781,6,15,43
0.2,4,9,3,3000,3,5,43
0.2,4,10,0,15,5,8,43
0.2,4,10,1,34,6,12,43
0.2,4,10,2,75,6,13,43
0.2,4,10,3,223,6,13,43
0.2,5,5,0,389,9,28,43
0.2,5,5,1,2105,9,31,44
0.2,5,5,2,3000,7,23,44
0.2,5,5,3,3000,4,10,43
0.2,5,6,0,165,7,19,43
0.2,5,6,1,475,8,27,44
0.2,5,6,2,1186,9,30,44
0.2,5,6,3,3000,4,10,43
0.2,5,7,0,77,6,15,43
0.2,5,7,1,247,7,22,44
0.2,5,7,2,455,8,26,44
0.2,5,7,3,1702,8,26,44
0.2,5,8,0,58,6,12,43
0.2,5,8,1,143,6,15,43
0.2,5,8,2,314,6,15,43
0.2,5,8,3,1415,7,20,43
0.2,5,9,0,38,6,12,43
0.2,5,9,1,89,6,13,43
0.2,5,9,2,128,6,13,43
0.2,5,9,3,223,7,15,43
