min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,41,2,2,23
0.1,1,5,1,5000,0,0,0
0.1,1,5,2,5000,0,0,0
0.1,1,5,3,5000,0,0,0
0.1,1,6,0,7,2,2,23
0.1,1,6,1,5000,0,2,23
0.1,1,6,2,5000,0,1,23
0.1,1,6,3,5000,0,0,0
0.1,1,7,0,2,0,0,0
0.1,1,7,1,330,2,8,25
0.1,1,7,2,540,2,9,25
0.1,1,7,3,1189,4,12,26
0.1,1,8,0,1,0,0,0
0.1,1,8,1,147,2,6,25
0.1,1,8,2,198,2,7,25
0.1,1,8,3,421,4,10,26
0.1,1,9,0,1,0,0,0
0.1,1,9,1,126,2,5,23
0.1,1,9,2,170,2,6,23
0.1,1,9,3,368,4,9,24
0.1,1,10,0,1,0,0,0
0.1,1,10,1,54,2,4,23
0.1,1,10,2,83,2,4,23
0.1,1,10,3,215,3,6,24
0.1,2,5,0,221,3,8,28
0.1,2,5,1,5000,0,4,26
0.1,2,5,2,5000,0,0,0
0.1,2,5,3,5000,0,0,0
0.1,2,6,0,12,2,2,23
0.1,2,6,1,2053,4,11,26
0.1,2,6,2,2251,4,11,26
0.1,2,6,3,3742,5,14,28
0.1,2,7,0,2,0,0,0
0.1,2,7,1,310,3,7,25
0.1,2,7,2,452,3,8,25
0.1,2,7,3,1194,5,11,26
0.1,2,8,0,1,0,0,0
0.1,2,8,1,147,2,6,25
0.1,2,8,2,198,2,7,25
0.1,2,8,3,421,4,10,26
0.1,2,9,0,0,0,0,0
0.1,2,9,1,147,2,6,25
0.1,2,9,2,198,2,7,25
0.1,2,9,3,421,4,10,26
0.1,2,10,0,0,0,0,0
0.1,2,10,1,103,1,4,25
0.1,2,10,2,148,1,5,25
0.1,2,10,3,406,4,10,26
0.1,3,5,0,85,5,11,28
0.1,3,5,1,5000,6,20,29
0.1,3,5,2,5000,6,20,29
0.1,3,5,3,5000,6,20,29
0.1,3,6,0,78,4,10,28
0.1,3,6,1,1926,5,18,29
0.1,3,6,2,1926,5,18,29
0.1,3,6,3,1927,5,18,29
0.1,3,7,0,16,4,6,23
0.1,3,7,1,209,4,7,23
0.1,3,7,2,261,4,7,23
0.1,3,7,3,272,4,7,23
0.1,3,8,0,7,4,6,23
0.1,3,8,1,47,4,7,23
0.1,3,8,2,73,4,7,23
0.1,3,8,3,117,4,7,23
0.1,3,9,0,5,3,5,23
0.1,3,9,1,31,3,5,23
0.1,3,9,2,52,3,5,23
0.1,3,9,3,115,4,7,23
0.1,3,10,0,3,2,3,23
0.1,3,10,1,31,3,5,23
0.1,3,10,2,52,3,5,23
0.1,3,10,3,115,4,7,23
0.1,4,5,0,94,5,12,28
0.1,4,5,1,5000,6,21,29
0.1,4,5,2,5000,6,21,29
0.1,4,5,3,5000,6,21,29
0.1,4,6,0,78,3,10,28
0.1,4,6,1,1941,4,18,29
0.1,4,6,2,1942,4,18,29
0.1,4,6,3,1959,4,18,29
0.1,4,7,0,67,3,10,28
0.1,4,7,1,1690,4,17,29
0.1,4,7,2,1690,4,17,29
0.1,4,7,3,1704,4,17,29
0.1,4,8,0,18,3,7,26
0.1,4,8,1,283,3,12,26
0.1,4,8,2,394,3,14,27
0.1,4,8,3,566,4,15,27
0.1,4,9,0,7,2,3,23
0.1,4,9,1,282,3,12,26
0.1,4,9,2,393,3,14,27
0.1,4,9,3,566,4,15,27
0.1,4,10,0,4,2,3,23
0.1,4,10,1,56,3,7,23
0.1,4,10,2,80,3,7,23
0.1,4,10,3,129,3,7,23
0.1,5,5,0,163,5,12,28
0.1,5,5,1,5000,6,18,27
0.1,5,5,2,5000,0,1,23
0.1,5,5,3,5000,0,0,0
0.1,5,6,0,108,4,11,28
0.1,5,6,1,3612,5,20,29
0.1,5,6,2,5000,5,16,27
0.1,5,6,3,5000,0,1,23
0.1,5,7,0,78,4,11,28
0.1,5,7,1,2235,5,18,29
0.1,5,7,2,4643,5,20,29
0.1,5,7,3,5000,0,0,0
0.1,5,8,0,24,3,8,26
0.1,5,8,1,627,3,12,26
0.1,5,8,2,1854,3,14,27
0.1,5,8,3,5000,0,3,25
0.1,5,9,0,10,2,5,23
0.1,5,9,1,339,3,12,26
0.1,5,9,2,891,3,14,27
0.1,5,9,3,4019,5,16,27
0.1,5,10,0,4,2,4,23
0.1,5,10,1,66,3,7,23
0.1,5,10,2,324,3,7,23
0.1,5,10,3,1436,4,8,23
0.2,1,5,0,41,2,2,23
0.2,1,5,1,5000,0,0,0
0.2,1,5,2,5000,0,0,0
0.2,1,5,3,5000,0,0,0
0.2,1,6,0,7,2,2,23
0.2,1,6,1,5000,0,2,23
0.2,1,6,2,5000,0,1,23
0.2,1,6,3,5000,0,0,0
0.2,1,7,0,2,0,0,0
0.2,1,7,1,330,2,8,25
0.2,1,7,2,540,2,9,25
0.2,1,7,3,1189,4,12,26
0.2,1,8,0,1,0,0,0
0.2,1,8,1,147,2,6,25
0.2,1,8,2,198,2,7,25
0.2,1,8,3,421,4,10,26
0.2,1,9,0,1,0,0,0
0.2,1,9,1,33,2,5,23
0.2,1,9,2,93,2,6,23
0.2,1,9,3,182,4,8,23
0.2,1,10,0,0,0,0,0
0.2,1,10,1,33,2,5,23
0.2,1,10,2,93,2,6,23
0.2,1,10,3,182,4,8,23
0.2,2,5,0,98,4,13,28
0.2,2,5,1,5000,6,22,29
0.2,2,5,2,5000,6,22,29
0.2,2,5,3,5000,6,22,29
0.2,2,6,0,87,3,12,28
0.2,2,6,1,1932,5,20,29
0.2,2,6,2,1932,5,20,29
0.2,2,6,3,1934,5,20,29
0.2,2,7,0,68,2,10,28
0.2,2,7,1,1676,4,17,29
0.2,2,7,2,1676,4,17,29
0.2,2,7,3,1679,4,17,29
0.2,2,8,0,29,2,6,27
0.2,2,8,1,732,4,13,28
0.2,2,8,2,757,4,13,28
0.2,2,8,3,792,4,13,28
0.2,2,9,0,20,1,3,25
0.2,2,9,1,496,3,9,27
0.2,2,9,2,553,3,9,27
0.2,2,9,3,734,4,12,27
0.2,2,10,0,11,1,2,23
0.2,2,10,1,159,1,4,24
0.2,2,10,2,247,1,4,24
0.2,2,10,3,383,3,6,24
0.2,3,5,0,2317,5,19,29
0.2,3,5,1,3032,5,19,29
0.2,3,5,2,3165,5,19,29
0.2,3,5,3,3595,5,19,29
0.2,3,6,0,1767,4,17,29
0.2,3,6,1,2269,4,17,29
0.2,3,6,2,2345,4,17,29
0.2,3,6,3,2814,5,18,29
0.2,3,7,0,195,2,9,28
0.2,3,7,1,2034,4,16,29
0.2,3,7,2,2129,4,16,29
0.2,3,7,3,2595,5,17,29
0.2,3,8,0,72,1,4,24
0.2,3,8,1,687,3,8,24
0.2,3,8,2,781,3,8,24
0.2,3,8,3,1447,5,12,25
0.2,3,9,0,32,0,1,23
0.2,3,9,1,570,3,6,23
0.2,3,9,2,667,3,6,23
0.2,3,9,3,1351,5,10,24
0.2,3,10,0,21,0,1,23
0.2,3,10,1,256,3,6,23
0.2,3,10,2,268,3,6,23
0.2,3,10,3,434,4,7,23
0.2,4,5,0,2350,6,18,29
0.2,4,5,1,5000,0,1,23
