min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,8,0,0,0
0.1,1,5,1,81,0,0,0
0.1,1,5,2,100,0,0,0
0.1,1,5,3,251,0,0,0
0.1,1,6,0,0,0,0,0
0.1,1,6,1,9,0,0,0
0.1,1,6,2,10,0,0,0
0.1,1,6,3,23,0,0,0
0.1,1,7,0,0,0,0,0
0.1,1,7,1,1,0,0,0
0.1,1,7,2,1,0,0,0
0.1,1,7,3,1,0,0,0
0.1,1,8,0,0,0,0,0
0.1,1,8,1,0,0,0,0
0.1,1,8,2,0,0,0,0
0.1,1,8,3,0,0,0,0
0.1,1,9,0,0,0,0,0
0.1,1,9,1,0,0,0,0
0.1,1,9,2,0,0,0,0
0.1,1,9,3,0,0,0,0
0.1,1,10,0,0,0,0,0
0.1,1,10,1,0,0,0,0
0.1,1,10,2,0,0,0,0
0.1,1,10,3,0,0,0,0
0.1,2,5,0,5,1,1,12
0.1,2,5,1,5,1,1,12
0.1,2,5,2,5,1,1,12
0.1,2,5,3,5,1,1,12
0.1,2,6,0,1,0,0,0
0.1,2,6,1,1,0,0,0
0.1,2,6,2,1,0,0,0
0.1,2,6,3,1,0,0,0
0.1,2,7,0,0,0,0,0
0.1,2,7,1,0,0,0,0
0.1,2,7,2,0,0,0,0
0.1,2,7,3,0,0,0,0
0.1,2,8,0,0,0,0,0
0.1,2,8,1,0,0,0,0
0.1,2,8,2,0,0,0,0
0.1,2,8,3,0,0,0,0
0.1,2,9,0,0,0,0,0
0.1,2,9,1,0,0,0,0
0.1,2,9,2,0,0,0,0
0.1,2,9,3,0,0,0,0
0.1,2,10,0,0,0,0,0
0.1,2,10,1,0,0,0,0
0.1,2,10,2,0,0,0,0
0.1,2,10,3,0,0,0,0
0.1,3,5,0,137,1,1,12
0.1,3,5,1,3000,0,0,0
0.1,3,5,2,3000,0,0,0
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,44,1,1,12
0.1,3,6,1,2252,1,1,12
0.1,3,6,2,3000,0,0,0
0.1,3,6,3,3000,0,0,0
0.1,3,7,0,3,0,0,0
0.1,3,7,1,576,0,0,0
0.1,3,7,2,2404,0,0,0
0.1,3,7,3,3000,0,0,0
0.1,3,8,0,1,0,0,0
0.1,3,8,1,402,0,0,0
0.1,3,8,2,1714,0,0,0
0.1,3,8,3,2243,0,0,0
0.1,3,9,0,0,0,0,0
0.1,3,9,1,125,0,0,0
0.1,3,9,2,662,0,0,0
0.1,3,9,3,859,0,0,0
0.1,3,10,0,0,0,0,0
0.1,3,10,1,6,0,0,0
0.1,3,10,2,30,0,0,0
0.1,3,10,3,58,0,0,0
0.1,4,5,0,20,2,3,12
0.1,4,5,1,29,2,3,12
0.1,4,5,2,42,2,3,12
0.1,4,5,3,48,2,3,12
0.1,4,6,0,4,2,2,12
0.1,4,6,1,11,2,2,12
0.1,4,6,2,15,2,2,12
0.1,4,6,3,22,2,3,12
0.1,4,7,0,4,2,2,12
0.1,4,7,1,8,2,2,12
0.1,4,7,2,11,2,2,12
0.1,4,7,3,13,2,2,12
0.1,4,8,0,4,2,2,12
0.1,4,8,1,8,2,2,12
0.1,4,8,2,11,2,2,12
0.1,4,8,3,13,2,2,12
0.1,4,9,0,3,2,2,12
0.1,4,9,1,3,2,2,12
0.1,4,9,2,8,2,2,12
0.1,4,9,3,11,2,2,12
0.1,4,10,0,2,2,2,12
0.1,4,10,1,2,2,2,12
0.1,4,10,2,7,2,2,12
0.1,4,10,3,10,2,2,12
0.1,5,5,0,137,1,1,12
0.1,5,5,1,3000,0,0,0
0.1,5,5,2,3000,0,0,0
0.1,5,5,3,3000,0,0,0
0.1,5,6,0,44,1,1,12
0.1,5,6,1,2252,1,1,12
0.1,5,6,2,3000,0,0,0
0.1,5,6,3,3000,0,0,0
0.1,5,7,0,3,0,0,0
0.1,5,7,1,576,0,0,0
0.1,5,7,2,2404,0,0,0
0.1,5,7,3,3000,0,0,0
0.1,5,8,0,0,0,0,0
0.1,5,8,1,18,0,0,0
0.1,5,8,2,96,0,0,0
0.1,5,8,3,170,0,0,0
0.1,5,9,0,0,0,0,0
0.1,5,9,1,2,0,0,0
0.1,5,9,2,23,0,0,0
0.1,5,9,3,43,0,0,0
0.1,5,10,0,0,0,0,0
0.1,5,10,1,0,0,0,0
0.1,5,10,2,0,0,0,0
0.1,5,10,3,0,0,0,0
0.2,1,5,0,8,0,0,0
0.2,1,5,1,81,0,0,0
0.2,1,5,2,100,0,0,0
0.2,1,5,3,251,0,0,0
0.2,1,6,0,0,0,0,0
0.2,1,6,1,9,0,0,0
0.2,1,6,2,10,0,0,0
0.2,1,6,3,23,0,0,0
0.2,1,7,0,0,0,0,0
0.2,1,7,1,1,0,0,0
0.2,1,7,2,1,0,0,0
0.2,1,7,3,1,0,0,0
0.2,1,8,0,0,0,0,0
0.2,1,8,1,0,0,0,0
0.2,1,8,2,0,0,0,0
0.2,1,8,3,0,0,0,0
0.2,1,9,0,0,0,0,0
0.2,1,9,1,0,0,0,0
0.2,1,9,2,0,0,0,0
0.2,1,9,3,0,0,0,0
0.2,1,10,0,0,0,0,0
0.2,1,10,1,0,0,0,0
